CarParkID,Development,LotType,Agency,id,lat,lng
B34,BLK 134/136 BEDOK NORTH AVENUE 3,C,HDB,B34_C,1.328312294,103.9356734
B35,BLK 137/140 BEDOK NORTH AVENUE 3,C,HDB,B35_C,1.329058097,103.9351762
B40,BLK 504/507 BEDOK NORTH STREET 3,C,HDB,B40_C,1.332549948,103.9327701
B41,BLK 510 BEDOK NORTH STREET 3,C,HDB,B41_C,1.332554918,103.9314929
B42,BLK 509/511 BEDOK NORTH STREET 3,C,HDB,B42_C,1.332451791,103.9308212
B43,BLK 519/522 553 BEDOK NORTH AVENUE 1/2,C,HDB,B43_C,1.331105187,103.9276034
B44,BLK 528/536 BEDOK NORTH STREET 3,C,HDB,B44_C,1.333971252,103.9275088
B45,BLK 537/539 BEDOK NORTH STREET 3,C,HDB,B45_C,1.331679984,103.925429
B46,BLK 537/538 BEDOK NORTH STREET 3,C,HDB,B46_C,1.331321224,103.924182
B47,BLK 540/542 BEDOK NORTH STREET 3,C,HDB,B47_C,1.330895915,103.9222478
B48,BLK 543/547 BEDOK NORTH STREET 3,C,HDB,B48_C,1.330095928,103.9234212
B49,BLK 549/551 BEDOK NORTH AVENUE 1,C,HDB,B49_C,1.332185767,103.9266682
B50,BLK 601/605 BEDOK RESERVOIR ROAD,C,HDB,B50_C,1.330447091,103.9130666
B51,BLK 611/616 BEDOK RESERVOIR ROAD,C,HDB,B51_C,1.3321465,103.9163962
B52,BLK 617/624 BEDOK RESERVOIR ROAD,C,HDB,B52_C,1.33390918,103.9178942
B53,BLK 625/629 BEDOK RESERVOIR ROAD,C,HDB,B53_C,1.334251489,103.9151772
B54,BLK 630/632 BEDOK RESERVOIR ROAD,C,HDB,B54_C,1.333363744,103.9152037
B57,BLK 701/708 BEDOK RESERVOIR ROAD,C,HDB,B57_C,1.335843395,103.9190193
B59,BLK 716/718/721 BEDOK RESERVOIR ROAD,C,HDB,B59_C,1.337459185,103.9259534
B60,BLK 722/725 BEDOK RESERVOIR ROAD,C,HDB,B60_C,1.337194222,103.9290567
B63,BLK 739/745 BEDOK RESERVOIR ROAD,C,HDB,B63_C,1.338153727,103.9226165
B65,BLK 155/172 BEDOK SOUTH ROAD/AVE 3,C,HDB,B65_C,1.32003291,103.9456593
B66,BLK 637A BEDOK RESERVOIR ROAD,C,HDB,B66_C,1.330548155,103.9043396
B67,BLK 649A JALAN TENAGA,C,HDB,B67_C,1.332015772,103.9063948
B69,BLK 94A BEDOK NORTH AVENUE 4,C,HDB,B69_C,1.333426184,103.9419707
B70,BLK 201 BEDOK NORTH ST 1,C,HDB,B70_C,1.326289845,103.9279955
B71,BLK 29C CHAI CHEE AVENUE,C,HDB,B71_C,1.324293889,103.9243004
B72,BLK 660A JALAN TENAGA,C,HDB,B72_C,1.33437706,103.9073898
B73,BLK 651A JALAN TENAGA,C,HDB,B73_C,1.332492268,103.9069672
B74,BLK 671A JALAN DAMAI,C,HDB,B74_C,1.332846853,103.9090553
B75,BLK 613C BEDOK RESERVOIR ROAD,C,HDB,B75_C,1.333038103,103.9175262
B79,BLK 772A BEDOK RESERVOIR VIEW,C,HDB,B79_C,1.336776156,103.9374066
B7A,BLK 216/218 BEDOK NORTH ST 1,C,HDB,B7A_C,1.327131692,103.934037
B7B,BEDOK CENTRAL,C,HDB,B7B_C,1.326521502,103.93484
B80,BLK 739A BEDOK RESERVOIR ROAD,C,HDB,B80_C,1.338268304,103.9233606
B81,BLK 30A NEW UPPER CHANGI ROAD,C,HDB,B81_C,1.323211124,103.9349426
B83,BLK 21A CHAI CHEE ROAD,C,HDB,B83_C,1.326469014,103.9222713
B84,BLK 215A BEDOK CENTRAL,C,HDB,B84_C,1.32622611,103.9342048
B85,BLK 184 BEDOK NORTH RD,C,HDB,B85_C,1.326080246,103.9413578
B86,BLK 114A BEDOK NORTH ST 2,C,HDB,B86_C,1.330720263,103.9355693
B88,BLK 34A BED0K SOUTH AVE 2,C,HDB,B88_C,1.322250932,103.938324
B89,BLK 116A BEDOK NORTH ROAD,C,HDB,B89_C,1.330959179,103.9372655
B90,BLK 35A BEDOK SOUTH AVE 2,C,HDB,B90_C,1.322520623,103.9396488
B91,BLK 630 BEDOK RESERVOIR ROAD,C,HDB,B91_C,1.332797324,103.9142523
B92,BLK 2A BEDOK SOUTH AVE 1,C,HDB,B92_C,1.321697394,103.9339351
B94,BLK 513A BEDOK NORTH AVE 2,C,HDB,B94_C,1.332260166,103.9293574
B95,BLK 220 BEDOK CENTRAL,C,HDB,B95_C,1.32551298,103.9350827
B96,BLK 219 BEDOK CENTRAL,C,HDB,B96_C,1.32496629,103.9329516
B97,BLK 714A BEDOK RESERVOIR ROAD,C,HDB,B97_C,1.33615579,103.9235081
B98,BLK 748 BEDOK RESERVOIR CRESCENT,C,HDB,B98_C,1.33607942,103.9219169
BBB,BLK 232 BRAS BASAH BASEMENT CAR PARK,C,HDB,BBB_C,1.296580028,103.8536632
BE3,BLK 401-408 SIN MING AVE,C,HDB,BE3_C,1.36236382,103.8344066
BE4,BLK 101-116 BISHAN STREET 12,C,HDB,BE4_C,1.346495537,103.8483778
BE5,BLK 117-134 BISHAN STREET 12,C,HDB,BE5_C,1.346177376,103.8509611
BE6,BLK 135/138 BISHAN STREET 12,C,HDB,BE6_C,1.344748214,103.8518833
BE7,BLK 139-144 BISHAN STREET 12,C,HDB,BE7_C,1.345004699,103.8530229
BE8,"BLK 145-150A, 151 BISHAN STREET 11",C,HDB,BE8_C,1.344436392,103.8553148
BE9,BLK 153-167 BISHAN STREET 13,C,HDB,BE9_C,1.347170262,103.8561828
BH1,BLK 1 THOMSON ROAD,C,HDB,BH1_C,1.324991365,103.8424599
BH2,BLK 2 BALESTIER ROAD,C,HDB,BH2_C,1.326045973,103.8428582
BJ1,BLK 130-140 CASHEW ROAD,C,HDB,BJ1_C,1.37395668,103.769323
BJ2,BLK 141-151 GANGSA/PETIR ROAD,C,HDB,BJ2_C,1.376135031,103.7666613
BJ3,BLK 101/129 GANGSA ROAD/PENDING ROAD,C,HDB,BJ3_C,1.377310194,103.7693773
BJ4,BLK 219/233 PETIR ROAD,C,HDB,BJ4_C,1.375459719,103.7723545
BJ8,BLK 201/218 PETIR ROAD,C,HDB,BJ8_C,1.374612729,103.7737107
BL3,BLK 174/179 BOON LAY DRIVE,C,HDB,BL3_C,1.346874708,103.7092346
BL8,BLK 221 BOON LAY PLACE,C,HDB,BL8_C,1.345425134,103.7133909
BLM,BLK 10 BENDEMEER ROAD,C,HDB,BLM_C,1.31550644,103.8609587
BM1,BLK 28 JALAN BUKIT MERAH,C,HDB,BM1_C,1.286273508,103.8096692
BM2,BLK 28 HOY FATT ROAD,C,HDB,BM2_C,1.286850768,103.8099531
BM3,BLK 49/50 HOY FATT ROAD,C,HDB,BM3_C,1.287707766,103.8115278
BM4,BLK 35A JALAN RUMAH TINGGI,C,HDB,BM4_C,1.287667284,103.8089551
BM5,BLKS 8/10 JALAN RUMAH TINGGI,Y,HDB,BM5_Y,1.288431556,103.8076195
BM5,BLKS 8/10 JALAN RUMAH TINGGI,H,HDB,BM5_H,1.288431556,103.8076195
BM5,BLKS 8/10 JALAN RUMAH TINGGI,C,HDB,BM5_C,1.288431556,103.8076195
BM6,BLK 61 LENGKOK BAHRU,H,HDB,BM6_H,1.289533391,103.8137645
BM6,BLK 61 LENGKOK BAHRU,Y,HDB,BM6_Y,1.289533391,103.8137645
