SUBZONE_N,SUBZONE_C,PLN_AREA_N,PLN_AREA_C,REGION_N,REGION_C
KALLANG WAY,GLSZ01,GEYLANG,GL,CENTRAL REGION,CR
INTERNATIONAL BUSINESS PARK,JESZ07,JURONG EAST,JE,WEST REGION,WR
TUKANG,BLSZ01,BOON LAY,BL,WEST REGION,WR
CORONATION ROAD,BTSZ06,BUKIT TIMAH,BT,CENTRAL REGION,CR
KEMBANGAN,BDSZ03,BEDOK,BD,EAST REGION,ER
DUNEARN,NVSZ04,NOVENA,NV,CENTRAL REGION,CR
SUNSET WAY,CLSZ02,CLEMENTI,CL,WEST REGION,WR
MACPHERSON,GLSZ02,GEYLANG,GL,CENTRAL REGION,CR
KIM KEAT,TPSZ07,TOA PAYOH,TP,CENTRAL REGION,CR
BEDOK NORTH,BDSZ04,BEDOK,BD,EAST REGION,ER
TOA PAYOH CENTRAL,TPSZ02,TOA PAYOH,TP,CENTRAL REGION,CR
JURONG GATEWAY,JESZ06,JURONG EAST,JE,WEST REGION,WR
HOLLAND ROAD,BTSZ03,BUKIT TIMAH,BT,CENTRAL REGION,CR
KAMPONG UBI,GLSZ03,GEYLANG,GL,CENTRAL REGION,CR
SENNETT,TPSZ11,TOA PAYOH,TP,CENTRAL REGION,CR
POTONG PASIR,TPSZ09,TOA PAYOH,TP,CENTRAL REGION,CR
TUAS NORTH,TSSZ03,TUAS,TS,WEST REGION,WR
PEI CHUN,TPSZ06,TOA PAYOH,TP,CENTRAL REGION,CR
BOON TECK,TPSZ04,TOA PAYOH,TP,CENTRAL REGION,CR
KIAN TECK,JWSZ06,JURONG WEST,JW,WEST REGION,WR
SAFTI,JWSZ07,JURONG WEST,JW,WEST REGION,WR
FARRER PARK,RCSZ01,ROCHOR,RC,CENTRAL REGION,CR
NEWTON CIRCUS,NTSZ03,NEWTON,NT,CENTRAL REGION,CR
JURONG PORT,JESZ10,JURONG EAST,JE,WEST REGION,WR
SAMULUN,BLSZ03,BOON LAY,BL,WEST REGION,WR
SHIPYARD,BLSZ04,BOON LAY,BL,WEST REGION,WR
GHIM MOH,QTSZ01,QUEENSTOWN,QT,CENTRAL REGION,CR
LAVENDER,KLSZ06,KALLANG,KL,CENTRAL REGION,CR
GOODWOOD PARK,NTSZ02,NEWTON,NT,CENTRAL REGION,CR
PANDAN,CLSZ09,CLEMENTI,CL,WEST REGION,WR
SINGAPORE POLYTECHNIC,QTSZ09,QUEENSTOWN,QT,CENTRAL REGION,CR
CLEMENTI CENTRAL,CLSZ06,CLEMENTI,CL,WEST REGION,WR
KAMPONG JAVA,KLSZ07,KALLANG,KL,CENTRAL REGION,CR
BOON KENG,KLSZ03,KALLANG,KL,CENTRAL REGION,CR
KALLANG BAHRU,KLSZ08,KALLANG,KL,CENTRAL REGION,CR
ULU PANDAN,BTSZ04,BUKIT TIMAH,BT,CENTRAL REGION,CR
FARRER COURT,BTSZ08,BUKIT TIMAH,BT,CENTRAL REGION,CR
NASSIM,TNSZ01,TANGLIN,TN,CENTRAL REGION,CR
WEST COAST,CLSZ05,CLEMENTI,CL,WEST REGION,WR
BAYSHORE,BDSZ08,BEDOK,BD,EAST REGION,ER
BENOI SECTOR,PNSZ03,PIONEER,PN,WEST REGION,WR
GUL CIRCLE,PNSZ02,PIONEER,PN,WEST REGION,WR
TYERSALL,TNSZ04,TANGLIN,TN,CENTRAL REGION,CR
MOULMEIN,NVSZ02,NOVENA,NV,CENTRAL REGION,CR
LIU FANG,BLSZ02,BOON LAY,BL,WEST REGION,WR
FRANKEL,BDSZ05,BEDOK,BD,EAST REGION,ER
CLEMENTI NORTH,CLSZ04,CLEMENTI,CL,WEST REGION,WR
LEEDON PARK,BTSZ07,BUKIT TIMAH,BT,CENTRAL REGION,CR
GEYLANG EAST,GLSZ05,GEYLANG,GL,CENTRAL REGION,CR
TEBAN GARDENS,JESZ09,JURONG EAST,JE,WEST REGION,WR
JURONG RIVER,JESZ08,JURONG EAST,JE,WEST REGION,WR
GEYLANG BAHRU,KLSZ02,KALLANG,KL,CENTRAL REGION,CR
FABER,CLSZ03,CLEMENTI,CL,WEST REGION,WR
MALCOLM,NVSZ03,NOVENA,NV,CENTRAL REGION,CR
BEDOK SOUTH,BDSZ06,BEDOK,BD,EAST REGION,ER
BENDEMEER,KLSZ01,KALLANG,KL,CENTRAL REGION,CR
BALESTIER,NVSZ01,NOVENA,NV,CENTRAL REGION,CR
TUAS PROMENADE,TSSZ02,TUAS,TS,WEST REGION,WR
SERANGOON CENTRAL,SGSZ06,SERANGOON,SG,NORTH-EAST REGION,NER
BISHAN EAST,BSSZ03,BISHAN,BS,CENTRAL REGION,CR
TAMPINES WEST,TMSZ03,TAMPINES,TM,EAST REGION,ER
BRICKWORKS,BKSZ03,BUKIT BATOK,BK,WEST REGION,WR
DEFU INDUSTRIAL PARK,HGSZ09,HOUGANG,HG,NORTH-EAST REGION,NER
CHANGI BAY,CBSZ01,CHANGI BAY,CB,EAST REGION,ER
PAYA LEBAR EAST,PLSZ02,PAYA LEBAR,PL,EAST REGION,ER
HONG KAH NORTH,BKSZ02,BUKIT BATOK,BK,WEST REGION,WR
KOVAN,HGSZ06,HOUGANG,HG,NORTH-EAST REGION,NER
CHONG BOON,AMSZ03,ANG MO KIO,AM,NORTH-EAST REGION,NER
